type_bien,prix,pieces,chambres,surface,etage,adresse,description,agence
Appartement à vendre,880 000 €22 000 €/m²,2,1,40,7/8,"Hoche-Friedland, Paris 8ème (75008)","Pour toute question ou demande d'information, pensez à noter et nous communiquer le numéro de référence lors de votre appel : 16406 Pure Place par Homki a le plaisir de vous présenter en exclusivité ...",HOMKI
Appartement à vendre,219 000 €10 950 €/m²,1,,20,2/3,"Montmartre, Paris 18ème (75018)","Situé 5 minutes des métros Jules Joffrin, Marcadet - Poissonniers et Château Rouge (lignes 12 et 4), venez découvrir ce grand studio de 19,41m² au sol et 19,02m² loi carrez. Vendu tout équipé et réno...",IMOSS
Appartement à vendre,219 000 €10 950 €/m²,1,,20,2/3,"Montmartre, Paris 18ème (75018)","Situé 5 minutes des métros Jules Joffrin, Marcadet - Poissonniers et Château Rouge (lignes 12 et 4), venez découvrir ce grand studio de 19,41m² au sol et 19,02m² loi carrez. Vendu tout équipé et réno...",IMOSS
Appartement à vendre,350 000 €14 000 €/m²,1,,25,3/5,"Monnaie, Paris 6ème (75006)","PARIS VI - SAINT-GERMAIN : L'agence STONEO vous propose en exclusivité un studio de 25 m² carrez situé au 3ème étage d'une copropriété bien entretenue. Cet appartement se compose d'une entrée, d'une ...",STONEO
Appartement à vendre,350 000 €14 000 €/m²,1,,25,3/5,"Monnaie, Paris 6ème (75006)","PARIS VI - SAINT-GERMAIN : L'agence STONEO vous propose en exclusivité un studio de 25 m² carrez situé au 3ème étage d'une copropriété bien entretenue. Cet appartement se compose d'une entrée, d'une ...",STONEO
Appartement à vendre,219 000 €10 950 €/m²,1,,20,2/3,"Clignancourt-Jules Joffrin, Paris 18ème (75018)","Situé 5 minutes des métros Jules Joffrin, Marcadet - Poissonniers et Château Rouge (lignes 12 et 4), venez découvrir ce grand studio de 19,41m² au sol et 19,02m² loi carrez. Vendu tout équipé et réno...",IMOSS
Appartement à vendre,219 000 €10 950 €/m²,1,,20,2/3,"Clignancourt-Jules Joffrin, Paris 18ème (75018)","Situé 5 minutes des métros Jules Joffrin, Marcadet - Poissonniers et Château Rouge (lignes 12 et 4), venez découvrir ce grand studio de 19,41m² au sol et 19,02m² loi carrez. Vendu tout équipé et réno...",IMOSS
Appartement à vendre,1 122 000 €9 350 €/m²,5,3,120,5/8,"Vaugirard-Parc des Expositions, Paris 15ème (75015)","Le Cabinet BR Immobilier vous propose ce SUPERBE APPARTEMENT FAMILIAL de 120 m², situé au 5ème ÉTAGE avec ASCENSEUR au sein d'une RÉSIDENCE DE STANDING, sécurisée et parfaitement entretenue, disposan...",BR Immobilier
Appartement à vendre,1 122 000 €9 350 €/m²,5,3,120,5/8,"Vaugirard-Parc des Expositions, Paris 15ème (75015)","Le Cabinet BR Immobilier vous propose ce SUPERBE APPARTEMENT FAMILIAL de 120 m², situé au 5ème ÉTAGE avec ASCENSEUR au sein d'une RÉSIDENCE DE STANDING, sécurisée et parfaitement entretenue, disposan...",BR Immobilier
Appartement à vendre,1 990 000 €9 911 €/m²,6,4,"200,8",2/6,"Pereire-Malesherbes, Paris 17ème (75017)","PARIS XVII. PLACE WAGRAM. VASTE APPARTEMENT FAMILIAL ENSOLEILLÉ AVEC BALCON FILANT. SUPERBE ANCIEN. Au deuxième étage, seul sur le palier, d'un superbe immeuble 1900 en pierre de taille, de grand sta...",CONSULTANTS IMMOBILIER
Appartement à vendre,1 990 000 €9 911 €/m²,6,4,"200,8",2/6,"Pereire-Malesherbes, Paris 17ème (75017)","PARIS XVII. PLACE WAGRAM. VASTE APPARTEMENT FAMILIAL ENSOLEILLÉ AVEC BALCON FILANT. SUPERBE ANCIEN. Au deuxième étage, seul sur le palier, d'un superbe immeuble 1900 en pierre de taille, de grand sta...",CONSULTANTS IMMOBILIER
Appartement à vendre,1 420 500 €10 939 €/m²,5,3,"129,9",3/6,"Porte Saint Denis-Paradis, Paris 10ème (75010)","Bienvenue chez Abriculteurs, l'agence familiale qui s'engage à un service immobilier d'exception. Découvrez une présentation soignée de ce bien : des photos professionnelles, un plan détaillé et une ...",Abriculteurs
Appartement à vendre,1 420 500 €10 939 €/m²,5,3,"129,9",3/6,"Porte Saint Denis-Paradis, Paris 10ème (75010)","Bienvenue chez Abriculteurs, l'agence familiale qui s'engage à un service immobilier d'exception. Découvrez une présentation soignée de ce bien : des photos professionnelles, un plan détaillé et une ...",Abriculteurs
Appartement à vendre - neuf,555 000 €6 777 €/m²,4,,"81,9",1/1,"Dock Saint Ouen, Saint Ouen sur Seine (93400)",Grand Lancement à Saint-Ouen - Résidence FOLIA Appartements neufs du 2 au 5 pièces avec espaces extérieurs privatifs Devenez propriétaire au coeur du nouvel écoquartier des Docks de Saint-Ouen grâce ...,Les Villages d Or
Appartement à vendre,720 000 €10 286 €/m²,2,1,70,1/6,"Arsenal, Paris 4ème (75004)","Pour toute question ou demande d'information, pensez à noter et nous communiquer le numéro de référence lors de votre appel : 18777 Homki vous propose en exclusivité ce charmant T2 de 70 m² situé au ...",HOMKI
Appartement à vendre,720 000 €10 286 €/m²,2,1,70,1/6,"Arsenal, Paris 4ème (75004)","Pour toute question ou demande d'information, pensez à noter et nous communiquer le numéro de référence lors de votre appel : 18777 Homki vous propose en exclusivité ce charmant T2 de 70 m² situé au ...",HOMKI
Appartement à vendre,700 000 €9 333 €/m²,3,2,75,2/8,"Pernety, Paris 14ème (75014)","75014 - PARIS - PERNETY - 3 PIÈCES - 2 CHAMBRES - 75.0 M² - UN APPARTEMENT LUMINEUX AVEC BALCON efficity, l'agence leader de l'estimation en ligne, vous propose : Appartement 3 Pièces – 75 m² + Balco...",efficity   Gael Brossaud
Appartement à vendre,700 000 €9 333 €/m²,3,2,75,2/8,"Pernety, Paris 14ème (75014)","75014 - PARIS - PERNETY - 3 PIÈCES - 2 CHAMBRES - 75.0 M² - UN APPARTEMENT LUMINEUX AVEC BALCON efficity, l'agence leader de l'estimation en ligne, vous propose : Appartement 3 Pièces – 75 m² + Balco...",efficity   Gael Brossaud
Appartement à vendre,945 000 €8 692 €/m²,5,3,"108,7",,"Pasteur Montparnasse, Paris 15ème (75015)","QUARTIER PASTEUR - MONTPARNASSE DE LA COUR AU JARDIN vous propose en EXCLUSIVITE, en rez-de-chaussée, étonnamment lumineux et ensoleillé, dans une copropriété récente (1968) parfaitement entretenue e...",CECILE TOURNOIS
Appartement à vendre,945 000 €8 692 €/m²,5,3,"108,7",,"Pasteur Montparnasse, Paris 15ème (75015)","QUARTIER PASTEUR - MONTPARNASSE DE LA COUR AU JARDIN vous propose en EXCLUSIVITE, en rez-de-chaussée, étonnamment lumineux et ensoleillé, dans une copropriété récente (1968) parfaitement entretenue e...",CECILE TOURNOIS
Appartement à vendre,1 790 000 €13 664 €/m²,6,5,131,1/6,"Invalides, Paris 7ème (75007)","Au sein d'une petite copropriété avec ascenseur, situé au 1er étage d'un immeuble ancien de 1850, cet appartement de 131 m² environ allie charme et potentiel. Il se compose d'une entrée, d'un double ...",DE FERLA CHAMP DE MARS
Appartement à vendre,699 000 €7 823 €/m²,4,2,"89,4",9/10,"Danube-Porte des Lilas, Paris 19ème (75019)","Au 33 bis boulevard Serrurier, Brew's vous ouvre les portes d'un appartement rare — celui qu'on n'imagine pas trouver là. Oui, c'est bien à la Porte des Lilas, et non, vous n'entendrez pas les voitur...",Brew s
Appartement à vendre,699 000 €7 823 €/m²,4,2,"89,4",9/10,"Danube-Porte des Lilas, Paris 19ème (75019)","Au 33 bis boulevard Serrurier, Brew's vous ouvre les portes d'un appartement rare — celui qu'on n'imagine pas trouver là. Oui, c'est bien à la Porte des Lilas, et non, vous n'entendrez pas les voitur...",Brew s
Appartement à vendre,449 000 €12 829 €/m²,1,,35,7/7,"Alleray Procession, Paris 15ème (75015)","Brew's vous présente en exclusivité ce bien rare : un studio de 35 m² au 7ème et dernier étage avec ascenseur, situé 11 rue Sainte-Félicité, Paris 15e, dans une copropriété très bien entretenue. Et l...",Brew s
Appartement à vendre,449 000 €12 829 €/m²,1,,35,7/7,"Alleray Procession, Paris 15ème (75015)","Brew's vous présente en exclusivité ce bien rare : un studio de 35 m² au 7ème et dernier étage avec ascenseur, situé 11 rue Sainte-Félicité, Paris 15e, dans une copropriété très bien entretenue. Et l...",Brew s
Appartement en viager · occupé,Bouquet 270 000 €et 500 €/mois,2,1,"43,5",13/13,"Alleray Procession, Paris 15ème (75015)",VIAGER OCCUPÉ 1 TETE - 2 PIECES PARIS 15EME VALEUR DU BIEN LIBRE DE TOUTE OCCUPATION = 384000 € DROIT D'USAGE ET D'HABITATION = 84000 € BOUQUET = 270000 €. LA RENTE MENSUELLE = 500 €. HONORAIRES AGEN...,VOUILLÉ IMMOBILIER
Appartement en viager · occupé,Bouquet 270 000 €et 500 €/mois,2,1,"43,5",13/13,"Alleray Procession, Paris 15ème (75015)",VIAGER OCCUPÉ 1 TETE - 2 PIECES PARIS 15EME VALEUR DU BIEN LIBRE DE TOUTE OCCUPATION = 384000 € DROIT D'USAGE ET D'HABITATION = 84000 € BOUQUET = 270000 €. LA RENTE MENSUELLE = 500 €. HONORAIRES AGEN...,VOUILLÉ IMMOBILIER
Maison à vendre - neuf,1 800 000 €13 433 €/m²,5,4,134,,"Vallée de Fécamp, Paris 12ème (75012)","Niché au cœur du 12ème arrondissement, à deux pas de l'avenue Daumesnil et de la place Félix Éboué, le programme Villas Daumesnil se décline en cinq maisons neuves aux surfaces généreuses. Véritables...",IKORY SERVICES IMMOBILIERS
Maison à vendre - neuf,1 800 000 €13 433 €/m²,5,4,134,,"Vallée de Fécamp, Paris 12ème (75012)","Niché au cœur du 12ème arrondissement, à deux pas de l'avenue Daumesnil et de la place Félix Éboué, le programme Villas Daumesnil se décline en cinq maisons neuves aux surfaces généreuses. Véritables...",IKORY SERVICES IMMOBILIERS
Appartement à vendre,1 050 000 €24 852 €/m²,2,1,"42,3",2/2,"Val de Grace, Paris 5ème (75005)","Au cœur du 5e arrondissement, rue du Pot de Fer, à deux pas de la rue Mouffetard et du Panthéon, se trouve cet appartement de 42,25 m² loi Carrez situé au deuxième étage d’un immeuble du XVIIe siècle...",JUNOT FINE PROPERTIES
Appartement à vendre,1 050 000 €24 852 €/m²,2,1,"42,3",2/2,"Val de Grace, Paris 5ème (75005)","Au cœur du 5e arrondissement, rue du Pot de Fer, à deux pas de la rue Mouffetard et du Panthéon, se trouve cet appartement de 42,25 m² loi Carrez situé au deuxième étage d’un immeuble du XVIIe siècle...",JUNOT FINE PROPERTIES
Appartement à vendre,699 000 €13 442 €/m²,3,2,52,7/10,"Montsouris Dareau, Paris 14ème (75014)","Montsouris - rue Gazan Appartement traversant de prestige de 52,6 m² situé au 7e étage avec ascenseur, offrant un plan optimisé et des rangements intégrés pour un confort de vie optimal. Cet appartem...",
Appartement à vendre,699 000 €13 442 €/m²,3,2,52,7/10,"Montsouris Dareau, Paris 14ème (75014)","Montsouris - rue Gazan Appartement traversant de prestige de 52,6 m² situé au 7e étage avec ascenseur, offrant un plan optimisé et des rangements intégrés pour un confort de vie optimal. Cet appartem...",
Appartement à vendre,335 000 €11 964 €/m²,2,1,28,4/4,"Bastille-Popincourt, Paris 11ème (75011)","BASTILLE Au coeur d'un quartier historique, à proximité des métros Bastille (ligne 1, 5 & 8) & Bréguet-Sabin (ligne 5), proche de toutes commodités, Oddsen immobilier a le plaisir de vous présenter u...",Ōddsen Immobilier
Appartement à vendre,335 000 €11 964 €/m²,2,1,28,4/4,"Bastille-Popincourt, Paris 11ème (75011)","BASTILLE Au coeur d'un quartier historique, à proximité des métros Bastille (ligne 1, 5 & 8) & Bréguet-Sabin (ligne 5), proche de toutes commodités, Oddsen immobilier a le plaisir de vous présenter u...",Ōddsen Immobilier
Appartement à vendre,469 000 €8 849 €/m²,3,2,53,1/6,"Patay-Masséna, Paris 13ème (75013)","Pour toute question ou demande d'information, pensez à noter et nous communiquer le numéro de référence lors de votre appel : 18571 Homki est ravi de vous présenter en exclusivité ce bel appartement ...",HOMKI
Appartement à vendre,469 000 €8 849 €/m²,3,2,53,1/6,"Patay-Masséna, Paris 13ème (75013)","Pour toute question ou demande d'information, pensez à noter et nous communiquer le numéro de référence lors de votre appel : 18571 Homki est ravi de vous présenter en exclusivité ce bel appartement ...",HOMKI
Appartement à vendre,570 000 €9 500 €/m²,3,2,60,7/8,"Belleville, Paris 20ème (75020)",BELLEVILLE Situé dans un quartier VIVANT et DYNAMIQUE. A proximité des commerces et du métro couronnes (L2). Oddsen Immobilier a le plaisir de vous présenter un MAGNIFIQUE appartement au 7ème étage a...,Ōddsen Immobilier
Appartement à vendre,570 000 €9 500 €/m²,3,2,60,7/8,"Belleville, Paris 20ème (75020)",BELLEVILLE Situé dans un quartier VIVANT et DYNAMIQUE. A proximité des commerces et du métro couronnes (L2). Oddsen Immobilier a le plaisir de vous présenter un MAGNIFIQUE appartement au 7ème étage a...,Ōddsen Immobilier
Appartement à vendre,624 000 €8 667 €/m²,3,2,72,6/6,"Chemins des Vignes, Issy-les-Moulineaux (92130)","Appartement 3 pièces de 72m2 situé au 6ème étage (dernier étage) d'un immeuble récent de grand standing A proximité de toutes les commodités : commerces, écoles, transports (Tramway T2 à 5 minutes à ...",DLNIMMO
Appartement à vendre,885 000 €10 908 €/m²,4,3,"81,1",3/9,"Nation-Picpus, Paris 12ème (75012)","[PARIS XII - NATION] Rue Fabre d'Églantine, à proximité immédiate des commerces des transports et des écoles, venez découvrir ce superbe appartement 4 pièces 3 chambres prêt-à-emménager au sein d'une...",MAISON COTARD IMMOBILIER
Appartement à vendre,885 000 €10 908 €/m²,4,3,"81,1",3/9,"Nation-Picpus, Paris 12ème (75012)","[PARIS XII - NATION] Rue Fabre d'Églantine, à proximité immédiate des commerces des transports et des écoles, venez découvrir ce superbe appartement 4 pièces 3 chambres prêt-à-emménager au sein d'une...",MAISON COTARD IMMOBILIER
Loft à vendre,1 000 000 €14 286 €/m²,3,1,70,4/4,"Monnaie, Paris 6ème (75006)","Pour toute question ou demande d'information, pensez à noter et nous communiquer le numéro de référence lors de votre appel : 18424 English version below Pure Place par Homki a le plaisir de vous pré...",HOMKI
Loft à vendre,1 000 000 €14 286 €/m²,3,1,70,4/4,"Monnaie, Paris 6ème (75006)","Pour toute question ou demande d'information, pensez à noter et nous communiquer le numéro de référence lors de votre appel : 18424 English version below Pure Place par Homki a le plaisir de vous pré...",HOMKI
Appartement à vendre,1 100 000 €10 577 €/m²,4,2,104,3/6,"Trudaine-Maubeuge, Paris 9ème (75009)","Pour toute question ou demande d'information, pensez à noter et nous communiquer le numéro de référence lors de votre appel : 19174 Pure place par Homki est ravi de vous présenter, en exclusivité, ce...",HOMKI
Appartement à vendre,1 100 000 €10 577 €/m²,4,2,104,3/6,"Trudaine-Maubeuge, Paris 9ème (75009)","Pour toute question ou demande d'information, pensez à noter et nous communiquer le numéro de référence lors de votre appel : 19174 Pure place par Homki est ravi de vous présenter, en exclusivité, ce...",HOMKI
Appartement à vendre,1 390 000 €14 040 €/m²,3,2,99,3/6,"Clichy-Trinité, Paris 9ème (75009)","Pour toute question ou demande d'information, pensez à noter et nous communiquer le numéro de référence lors de votre appel : 18989 Pure place par Homki a le plaisir de vous présenter, en exclusivité...",HOMKI
Appartement à vendre,1 390 000 €14 040 €/m²,3,2,99,3/6,"Clichy-Trinité, Paris 9ème (75009)","Pour toute question ou demande d'information, pensez à noter et nous communiquer le numéro de référence lors de votre appel : 18989 Pure place par Homki a le plaisir de vous présenter, en exclusivité...",HOMKI
Appartement à vendre,1 180 000 €10 826 €/m²,4,2,109,2/7,"Auteuil Nord, Paris 16ème (75016)","Pour toute question ou demande d'information, pensez à noter et nous communiquer le numéro de référence lors de votre appel : 16103 Pure Place par Homki a le plaisir de vous proposer en exclusivité c...",HOMKI
Appartement à vendre,1 180 000 €10 826 €/m²,4,2,109,2/7,"Auteuil Nord, Paris 16ème (75016)","Pour toute question ou demande d'information, pensez à noter et nous communiquer le numéro de référence lors de votre appel : 16103 Pure Place par Homki a le plaisir de vous proposer en exclusivité c...",HOMKI
Appartement à vendre,1 140 000 €16 056 €/m²,3,2,71,10/12,"Legendre-Lévis, Paris 17ème (75017)","Au sein de la Rue de Rome, au cœur du quartier prisé des Batignolles, BR Immobilier vous propose au 10 € étage avec ascenseur un 3 pièces RÉNOVÉ de 75 m² loi Carrez avec BALCON et VUE SACRÉ-CŒUR. L'a...",BR Immobilier
Appartement à vendre,1 140 000 €16 056 €/m²,3,2,71,10/12,"Legendre-Lévis, Paris 17ème (75017)","Au sein de la Rue de Rome, au cœur du quartier prisé des Batignolles, BR Immobilier vous propose au 10 € étage avec ascenseur un 3 pièces RÉNOVÉ de 75 m² loi Carrez avec BALCON et VUE SACRÉ-CŒUR. L'a...",BR Immobilier
Appartement à vendre,880 000 €22 000 €/m²,2,1,40,7/8,"Hoche-Friedland, Paris 8ème (75008)","Pour toute question ou demande d'information, pensez à noter et nous communiquer le numéro de référence lors de votre appel : 16406 Pure Place par Homki a le plaisir de vous présenter en exclusivité ...",HOMKI
Appartement à vendre,880 000 €22 000 €/m²,2,1,40,7/8,"Hoche-Friedland, Paris 8ème (75008)","Pour toute question ou demande d'information, pensez à noter et nous communiquer le numéro de référence lors de votre appel : 16406 Pure Place par Homki a le plaisir de vous présenter en exclusivité ...",HOMKI
Appartement à vendre,219 000 €10 950 €/m²,1,,20,2/3,"Montmartre, Paris 18ème (75018)","Situé 5 minutes des métros Jules Joffrin, Marcadet - Poissonniers et Château Rouge (lignes 12 et 4), venez découvrir ce grand studio de 19,41m² au sol et 19,02m² loi carrez. Vendu tout équipé et réno...",IMOSS
Appartement à vendre,219 000 €10 950 €/m²,1,,20,2/3,"Montmartre, Paris 18ème (75018)","Situé 5 minutes des métros Jules Joffrin, Marcadet - Poissonniers et Château Rouge (lignes 12 et 4), venez découvrir ce grand studio de 19,41m² au sol et 19,02m² loi carrez. Vendu tout équipé et réno...",IMOSS
Appartement à vendre,350 000 €14 000 €/m²,1,,25,3/5,"Monnaie, Paris 6ème (75006)","PARIS VI - SAINT-GERMAIN : L'agence STONEO vous propose en exclusivité un studio de 25 m² carrez situé au 3ème étage d'une copropriété bien entretenue. Cet appartement se compose d'une entrée, d'une ...",STONEO
Appartement à vendre,350 000 €14 000 €/m²,1,,25,3/5,"Monnaie, Paris 6ème (75006)","PARIS VI - SAINT-GERMAIN : L'agence STONEO vous propose en exclusivité un studio de 25 m² carrez situé au 3ème étage d'une copropriété bien entretenue. Cet appartement se compose d'une entrée, d'une ...",STONEO
Appartement à vendre,219 000 €10 950 €/m²,1,,20,2/3,"Clignancourt-Jules Joffrin, Paris 18ème (75018)","Situé 5 minutes des métros Jules Joffrin, Marcadet - Poissonniers et Château Rouge (lignes 12 et 4), venez découvrir ce grand studio de 19,41m² au sol et 19,02m² loi carrez. Vendu tout équipé et réno...",IMOSS
Appartement à vendre,219 000 €10 950 €/m²,1,,20,2/3,"Clignancourt-Jules Joffrin, Paris 18ème (75018)","Situé 5 minutes des métros Jules Joffrin, Marcadet - Poissonniers et Château Rouge (lignes 12 et 4), venez découvrir ce grand studio de 19,41m² au sol et 19,02m² loi carrez. Vendu tout équipé et réno...",IMOSS
Appartement à vendre,1 122 000 €9 350 €/m²,5,3,120,5/8,"Vaugirard-Parc des Expositions, Paris 15ème (75015)","Le Cabinet BR Immobilier vous propose ce SUPERBE APPARTEMENT FAMILIAL de 120 m², situé au 5ème ÉTAGE avec ASCENSEUR au sein d'une RÉSIDENCE DE STANDING, sécurisée et parfaitement entretenue, disposan...",BR Immobilier
Appartement à vendre,1 122 000 €9 350 €/m²,5,3,120,5/8,"Vaugirard-Parc des Expositions, Paris 15ème (75015)","Le Cabinet BR Immobilier vous propose ce SUPERBE APPARTEMENT FAMILIAL de 120 m², situé au 5ème ÉTAGE avec ASCENSEUR au sein d'une RÉSIDENCE DE STANDING, sécurisée et parfaitement entretenue, disposan...",BR Immobilier
Appartement à vendre,1 990 000 €9 911 €/m²,6,4,"200,8",2/6,"Pereire-Malesherbes, Paris 17ème (75017)","PARIS XVII. PLACE WAGRAM. VASTE APPARTEMENT FAMILIAL ENSOLEILLÉ AVEC BALCON FILANT. SUPERBE ANCIEN. Au deuxième étage, seul sur le palier, d'un superbe immeuble 1900 en pierre de taille, de grand sta...",CONSULTANTS IMMOBILIER
Appartement à vendre,1 990 000 €9 911 €/m²,6,4,"200,8",2/6,"Pereire-Malesherbes, Paris 17ème (75017)","PARIS XVII. PLACE WAGRAM. VASTE APPARTEMENT FAMILIAL ENSOLEILLÉ AVEC BALCON FILANT. SUPERBE ANCIEN. Au deuxième étage, seul sur le palier, d'un superbe immeuble 1900 en pierre de taille, de grand sta...",CONSULTANTS IMMOBILIER
Appartement à vendre,1 420 500 €10 939 €/m²,5,3,"129,9",3/6,"Porte Saint Denis-Paradis, Paris 10ème (75010)","Bienvenue chez Abriculteurs, l'agence familiale qui s'engage à un service immobilier d'exception. Découvrez une présentation soignée de ce bien : des photos professionnelles, un plan détaillé et une ...",Abriculteurs
Appartement à vendre,1 420 500 €10 939 €/m²,5,3,"129,9",3/6,"Porte Saint Denis-Paradis, Paris 10ème (75010)","Bienvenue chez Abriculteurs, l'agence familiale qui s'engage à un service immobilier d'exception. Découvrez une présentation soignée de ce bien : des photos professionnelles, un plan détaillé et une ...",Abriculteurs
Appartement à vendre - neuf,555 000 €6 777 €/m²,4,,"81,9",1/1,"Dock Saint Ouen, Saint Ouen sur Seine (93400)",Grand Lancement à Saint-Ouen - Résidence FOLIA Appartements neufs du 2 au 5 pièces avec espaces extérieurs privatifs Devenez propriétaire au coeur du nouvel écoquartier des Docks de Saint-Ouen grâce ...,Les Villages d Or
Appartement à vendre,720 000 €10 286 €/m²,2,1,70,1/6,"Arsenal, Paris 4ème (75004)","Pour toute question ou demande d'information, pensez à noter et nous communiquer le numéro de référence lors de votre appel : 18777 Homki vous propose en exclusivité ce charmant T2 de 70 m² situé au ...",HOMKI
Appartement à vendre,720 000 €10 286 €/m²,2,1,70,1/6,"Arsenal, Paris 4ème (75004)","Pour toute question ou demande d'information, pensez à noter et nous communiquer le numéro de référence lors de votre appel : 18777 Homki vous propose en exclusivité ce charmant T2 de 70 m² situé au ...",HOMKI
Appartement à vendre,700 000 €9 333 €/m²,3,2,75,2/8,"Pernety, Paris 14ème (75014)","75014 - PARIS - PERNETY - 3 PIÈCES - 2 CHAMBRES - 75.0 M² - UN APPARTEMENT LUMINEUX AVEC BALCON efficity, l'agence leader de l'estimation en ligne, vous propose : Appartement 3 Pièces – 75 m² + Balco...",efficity   Gael Brossaud
Appartement à vendre,700 000 €9 333 €/m²,3,2,75,2/8,"Pernety, Paris 14ème (75014)","75014 - PARIS - PERNETY - 3 PIÈCES - 2 CHAMBRES - 75.0 M² - UN APPARTEMENT LUMINEUX AVEC BALCON efficity, l'agence leader de l'estimation en ligne, vous propose : Appartement 3 Pièces – 75 m² + Balco...",efficity   Gael Brossaud
Appartement à vendre,945 000 €8 692 €/m²,5,3,"108,7",,"Pasteur Montparnasse, Paris 15ème (75015)","QUARTIER PASTEUR - MONTPARNASSE DE LA COUR AU JARDIN vous propose en EXCLUSIVITE, en rez-de-chaussée, étonnamment lumineux et ensoleillé, dans une copropriété récente (1968) parfaitement entretenue e...",CECILE TOURNOIS
Appartement à vendre,945 000 €8 692 €/m²,5,3,"108,7",,"Pasteur Montparnasse, Paris 15ème (75015)","QUARTIER PASTEUR - MONTPARNASSE DE LA COUR AU JARDIN vous propose en EXCLUSIVITE, en rez-de-chaussée, étonnamment lumineux et ensoleillé, dans une copropriété récente (1968) parfaitement entretenue e...",CECILE TOURNOIS
 
